date,min_price,max_price,mean_price,std_price,volatility,rolling_avg_volatility
2024-11-27,1978.8,3300984.22,382240.63586956525,691114.0070775052,863.0703045203556,863.0703045203556
2024-11-28,2969.19,3269657.86,141074.65811320755,466128.8166103452,2315.574401306431,1589.3223529133934
2024-11-29,1186.93,1993617.48,159356.08346153845,325634.6816684461,1250.300902683069,1476.3152028366185
2024-11-30,800.15,7394334.01,243471.0421153846,813492.8352174594,3036.720012269916,1866.4164051949429
2024-12-01,990.0,5811836.85,325014.3936666667,935746.2819204296,1787.87369520612,1850.707863197178
2024-12-02,2181.44,2969795.35,149832.57426229506,431704.31636076275,1980.6199850807686,1872.35988351111
2024-12-03,989.73,3404862.17,255387.28211538462,601537.2845017513,1332.8277006613514,1795.2838573897159
2024-12-04,878.4,260020.64,44669.514761904764,52969.6889261896,580.1322028709449,1754.8641285826573
2024-12-05,1484.74,4698661.85,212092.0395967742,580304.1696935178,2214.688075483735,1740.451796322272
2024-12-06,1980.84,1549194.5,167438.43384615384,341098.8900476611,924.0492905121259,1693.8444231549945
2024-12-07,988.43,1184966.76,89349.95845238095,178401.41763556688,1325.1022725780015,1449.3276031990067
2024-12-08,1583.4,3241766.52,178445.32960784316,500281.4126393771,1815.7847712353832,1453.314899774616
2024-12-09,1461.73,992584.63,89363.40253333334,161015.21484182109,1109.0926172269485,1328.8109900812128
2024-12-10,2078.16,1227747.03,180121.03653061227,295916.6146893647,680.4695851234972,1235.616973575805
2024-12-11,791.67,9209866.51,363638.56235294114,1578287.0045366979,2532.480268432542,1514.5238400846047
2025-03-11,1000.0,1000000.0,95367.1184375,214184.05645688635,1047.5308642723717,1347.7870956258387
2025-07-18,5000.0,2141338.75,501890.8233333333,643410.486668321,425.6580616101721,1276.588348639845
